transaction_id,account_id,sender_entity_id,receiver_entity_id,amount,currency,timestamp,origin_country,destination_country,merchant_category,transaction_type,channel,is_international,risk_flag
TXN-001,ACC-1001,E001,E002,9500,USD,2024-01-01T10:00:00,US,US,retail,transfer,online,False,low
TXN-002,ACC-1001,E001,E003,9700,USD,2024-01-01T10:05:00,US,US,retail,transfer,online,False,low
TXN-003,ACC-1001,E001,E004,9800,USD,2024-01-01T10:10:00,US,US,retail,transfer,online,False,low
TXN-004,ACC-1001,E001,E005,9900,USD,2024-01-01T10:15:00,US,US,retail,transfer,online,False,low
TXN-005,ACC-1001,E001,E006,9600,USD,2024-01-01T10:20:00,US,US,retail,transfer,online,False,low
TXN-006,ACC-1002,E002,E007,50000,USD,2024-01-01T11:00:00,US,PA,consulting,wire,bank,True,high
TXN-007,ACC-1003,E007,E008,50000,USD,2024-01-01T11:05:00,PA,KY,consulting,wire,bank,True,high
TXN-008,ACC-1004,E008,E009,50000,USD,2024-01-01T11:10:00,KY,VG,consulting,wire,bank,True,high
TXN-009,ACC-1005,E009,E002,50000,USD,2024-01-01T11:15:00,VG,US,consulting,wire,bank,True,high
TXN-010,ACC-1010,E003,E010,42000,USD,2024-01-01T12:00:00,US,PA,finance,transfer,bank,True,medium
TXN-011,ACC-1011,E010,E011,42000,USD,2024-01-01T12:05:00,PA,KY,finance,transfer,bank,True,medium
TXN-012,ACC-1012,E011,E012,42000,USD,2024-01-01T12:10:00,KY,VG,finance,transfer,bank,True,medium
TXN-013,ACC-1013,E012,E003,42000,USD,2024-01-01T12:15:00,VG,US,finance,transfer,bank,True,medium
TXN-014,ACC-1020,E020,E021,3000,USD,2024-01-01T13:00:00,US,US,retail,transfer,online,False,low
TXN-015,ACC-1021,E021,E022,3000,USD,2024-01-01T13:05:00,US,US,retail,transfer,online,False,low
TXN-016,ACC-1022,E022,E023,3000,USD,2024-01-01T13:10:00,US,US,retail,transfer,online,False,low
TXN-017,ACC-1023,E023,E024,3000,USD,2024-01-01T13:15:00,US,US,retail,transfer,online,False,low
TXN-018,ACC-1024,E024,E020,3000,USD,2024-01-01T13:20:00,US,US,retail,transfer,online,False,low
TXN-019,ACC-1030,E030,E031,75000,USD,2024-01-01T14:00:00,US,KY,consulting,wire,bank,True,high
TXN-020,ACC-1031,E031,E032,75000,USD,2024-01-01T14:05:00,KY,PA,consulting,wire,bank,True,high
TXN-021,ACC-1032,E032,E033,75000,USD,2024-01-01T14:10:00,PA,VG,consulting,wire,bank,True,high
TXN-022,ACC-1033,E033,E034,75000,USD,2024-01-01T14:15:00,VG,US,consulting,wire,bank,True,high
TXN-023,ACC-1034,E034,E030,75000,USD,2024-01-01T14:20:00,US,US,consulting,wire,bank,True,high
TXN-024,ACC-1040,E040,E041,1200,USD,2024-01-01T15:00:00,US,US,retail,transfer,online,False,low
TXN-025,ACC-1041,E041,E042,1500,USD,2024-01-01T15:05:00,US,US,retail,transfer,online,False,low
TXN-026,ACC-1042,E042,E043,1700,USD,2024-01-01T15:10:00,US,US,retail,transfer,online,False,low
TXN-027,ACC-1043,E043,E044,1900,USD,2024-01-01T15:15:00,US,US,retail,transfer,online,False,low
TXN-028,ACC-1044,E044,E045,2100,USD,2024-01-01T15:20:00,US,US,retail,transfer,online,False,low
TXN-029,ACC-1050,E050,E051,60000,USD,2024-01-01T16:00:00,US,PA,consulting,wire,bank,True,high
TXN-030,ACC-1051,E051,E052,60000,USD,2024-01-01T16:05:00,PA,KY,consulting,wire,bank,True,high
TXN-031,ACC-1052,E052,E053,60000,USD,2024-01-01T16:10:00,KY,VG,consulting,wire,bank,True,high
TXN-032,ACC-1053,E053,E054,60000,USD,2024-01-01T16:15:00,VG,US,consulting,wire,bank,True,high
TXN-033,ACC-1054,E054,E050,60000,USD,2024-01-01T16:20:00,US,US,consulting,wire,bank,True,high
TXN-034,ACC-1060,E060,E061,8800,USD,2024-01-01T17:00:00,US,US,retail,transfer,online,False,low
TXN-035,ACC-1060,E060,E062,8900,USD,2024-01-01T17:05:00,US,US,retail,transfer,online,False,low
TXN-036,ACC-1060,E060,E063,8700,USD,2024-01-01T17:10:00,US,US,retail,transfer,online,False,low
TXN-037,ACC-1060,E060,E064,8800,USD,2024-01-01T17:15:00,US,US,retail,transfer,online,False,low
TXN-038,ACC-1060,E060,E065,8900,USD,2024-01-01T17:20:00,US,US,retail,transfer,online,False,low
TXN-039,ACC-1060,E060,E066,8700,USD,2024-01-01T17:25:00,US,US,retail,transfer,online,False,low
TXN-040,ACC-1060,E060,E067,8600,USD,2024-01-01T17:30:00,US,US,retail,transfer,online,False,low
